"filename", "language", "PHP", "Log", "HTML", "SCSS", "JavaScript", "Markdown", "XML", "CSS", "JSON", "YAML", "comment", "blank", "total"
"c:\xampp\htdocs\ventas-proyecto-rick\.styleci.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 1, 15
"c:\xampp\htdocs\ventas-proyecto-rick\README.md", "Markdown", 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 21, 65
"c:\xampp\htdocs\ventas-proyecto-rick\app\Console\Kernel.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 6, 33
"c:\xampp\htdocs\ventas-proyecto-rick\app\Exceptions\Handler.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 6, 42
"c:\xampp\htdocs\ventas-proyecto-rick\app\Exports\SalesExport.php", "PHP", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 76
"c:\xampp\htdocs\ventas-proyecto-rick\app\Http\Controllers\Auth\ConfirmPasswordController.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 7, 41
"c:\xampp\htdocs\ventas-proyecto-rick\app\Http\Controllers\Auth\ForgotPasswordController.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 23
"c:\xampp\htdocs\ventas-proyecto-rick\app\Http\Controllers\Auth\LoginController.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"c:\xampp\htdocs\ventas-proyecto-rick\app\Http\Controllers\Auth\RegisterController.php", "PHP", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 9, 74
"c:\xampp\htdocs\ventas-proyecto-rick\app\Http\Controllers\Auth\ResetPasswordController.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 6, 31
"c:\xampp\htdocs\ventas-proyecto-rick\app\Http\Controllers\Auth\VerificationController.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 7, 43
"c:\xampp\htdocs\ventas-proyecto-rick\app\Http\Controllers\Controller.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"c:\xampp\htdocs\ventas-proyecto-rick\app\Http\Controllers\ExportController.php", "PHP", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 54
"c:\xampp\htdocs\ventas-proyecto-rick\app\Http\Controllers\HomeController.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 29
"c:\xampp\htdocs\ventas-proyecto-rick\app\Http\Kernel.php", "PHP", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 7, 69
"c:\xampp\htdocs\ventas-proyecto-rick\app\Http\Livewire\AsignarController.php", "PHP", 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 99
"c:\xampp\htdocs\ventas-proyecto-rick\app\Http\Livewire\CashoutController.php", "PHP", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 66
"c:\xampp\htdocs\ventas-proyecto-rick\app\Http\Livewire\CategoriesController.php", "PHP", 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 29, 145
